CVDBB_bbands_length,CVDBB_bbands_stddev,CVDBB_cvd_length,CVDBB_atr_length,CVDBB_sl_coef,CVDBB_tpsl_ratio,period,end_value,total_return_pct,benchmark_return_pct,total_fees_paid,max_drawdown_pct,max_drawdown_duration,total_trades,win_rate_pct,best_trade_pct,worst_trade_pct,avg_winning_trade_pct,avg_losing_trade_pct,profit_factor,expectancy,sharpe_ratio,calmar_ratio,omega_ratio,sortino_ratio
114,5.449777,38,16,2.080853,3.739309,218 days 10:00:00,797.809852,-20.219015,-50.755473,14.355476,20.653376,212 days 14:00:00,37,8.333333,13.487594,-6.579708,9.093836,-2.506462,0.314338,-5.654341,-2.618274,-1.522334,0.863107,-3.411689
62,3.287241,54,5,2.983423,3.797649,218 days 10:00:00,855.780875,-14.421912,-50.755473,7.758154,20.536641,129 days 16:00:00,31,10.000000,31.144571,-11.613468,17.190299,-4.595167,0.405648,-4.998695,-2.131888,-1.115810,0.920341,-2.893633
136,4.794208,43,19,2.320780,3.373037,218 days 10:00:00,849.033420,-15.096658,-50.755473,13.569982,17.339897,212 days 00:00:00,37,13.513514,13.508218,-7.102579,8.410298,-2.758908,0.486158,-4.080178,-2.087655,-1.379938,0.878800,-2.839384
27,4.068125,38,17,2.016588,4.024186,218 days 10:00:00,707.977980,-29.202202,-50.755473,32.627525,31.498446,216 days 17:00:00,87,12.790698,12.979148,-5.417053,9.045456,-2.470056,0.539555,-3.386724,-2.717365,-1.392068,0.890525,-3.733485
44,4.258105,54,7,2.940523,3.795144,218 days 10:00:00,878.802236,-12.119776,-50.755473,10.592386,18.921619,215 days 22:00:00,42,14.634146,21.335667,-10.855418,15.375282,-4.295449,0.606227,-3.086585,-1.620402,-1.026258,0.938007,-2.221959
106,4.931985,45,11,2.341066,3.226947,218 days 10:00:00,834.154200,-16.584580,-50.755473,12.441286,19.266879,212 days 14:00:00,36,11.428571,16.106305,-8.563891,9.907945,-2.831309,0.381994,-4.960473,-2.232569,-1.356873,0.887361,-2.916005
55,5.070688,37,11,2.228550,3.349910,218 days 10:00:00,869.635651,-13.036435,-50.755473,21.789356,19.032089,214 days 19:00:00,61,18.333333,17.717216,-7.768780,9.576986,-2.837035,0.686242,-2.301895,-1.319362,-1.093846,0.942105,-1.847363
145,3.808226,51,20,2.241852,3.186206,218 days 10:00:00,808.096320,-19.190368,-50.755473,12.211970,20.106097,198 days 18:00:00,33,9.090909,8.740838,-6.931819,6.695080,-2.725488,0.295427,-5.815263,-3.045349,-1.489984,0.790620,-4.006935
93,5.151463,43,16,2.278871,4.400716,218 days 10:00:00,804.529370,-19.547063,-50.755473,15.518403,23.751485,214 days 00:00:00,44,9.302326,13.173130,-7.681263,11.373893,-2.715977,0.410521,-4.727301,-2.486383,-1.283021,0.885472,-3.353168
27,4.997135,35,20,2.642032,3.168280,218 days 10:00:00,825.486353,-17.451365,-50.755473,20.043404,22.834831,130 days 22:00:00,64,17.460317,18.237078,-6.731394,10.270917,-3.153866,0.635329,-2.786826,-1.861981,-1.200830,0.930439,-2.534235
