CVDBB_bbands_length,CVDBB_bbands_stddev,CVDBB_cvd_length,CVDBB_atr_length,CVDBB_sl_coef,CVDBB_tpsl_ratio,period,end_value,total_return_pct,benchmark_return_pct,total_fees_paid,max_drawdown_pct,max_drawdown_duration,total_trades,win_rate_pct,best_trade_pct,worst_trade_pct,avg_winning_trade_pct,avg_losing_trade_pct,profit_factor,expectancy,sharpe_ratio,calmar_ratio,omega_ratio,sortino_ratio
65,3.000000,40,10,2.000000,2.500000,218 days 10:00:00,885.335932,-11.466407,-50.755473,22.833772,15.147480,148 days 21:00:00,58,24.137931,8.726779,-7.081725,5.468550,-2.912007,0.728457,-1.976967,-1.315047,-1.215701,0.936746,-1.837963
65,3.500000,40,10,2.000000,2.500000,218 days 10:00:00,909.136329,-9.086367,-50.755473,20.982710,11.934288,214 days 19:00:00,52,25.000000,8.726779,-7.081725,5.586156,-2.845040,0.758716,-1.747378,-1.071924,-1.233141,0.945191,-1.498560
65,4.000000,40,10,2.000000,2.500000,218 days 10:00:00,897.029397,-10.297060,-50.755473,19.961442,13.962645,214 days 19:00:00,50,24.000000,8.726779,-7.081725,5.524083,-2.850891,0.715321,-2.059412,-1.252123,-1.189322,0.935999,-1.740922
65,4.500000,40,10,2.000000,2.500000,218 days 10:00:00,897.029397,-10.297060,-50.755473,19.961442,13.962645,214 days 19:00:00,50,24.000000,8.726779,-7.081725,5.524083,-2.850891,0.715321,-2.059412,-1.252123,-1.189322,0.935999,-1.740922
65,5.000000,40,10,2.000000,2.500000,218 days 10:00:00,897.029397,-10.297060,-50.755473,19.961442,13.962645,214 days 19:00:00,50,24.000000,8.726779,-7.081725,5.524083,-2.850891,0.715321,-2.059412,-1.252123,-1.189322,0.935999,-1.740922
65,5.500000,40,10,2.000000,2.500000,218 days 10:00:00,897.029397,-10.297060,-50.755473,19.961442,13.962645,214 days 19:00:00,50,24.000000,8.726779,-7.081725,5.524083,-2.850891,0.715321,-2.059412,-1.252123,-1.189322,0.935999,-1.740922
75,2.000000,40,10,2.000000,2.500000,218 days 10:00:00,883.742067,-11.625793,-50.755473,31.608751,18.743800,214 days 19:00:00,80,25.316456,17.783162,-7.101822,6.326624,-2.614726,0.778237,-1.535082,-1.232568,-0.995535,0.945164,-1.733298
75,2.500000,40,10,2.000000,2.500000,218 days 10:00:00,836.497077,-16.350292,-50.755473,20.696961,17.326660,214 days 19:00:00,54,20.370370,17.783162,-7.727619,5.859273,-2.875931,0.586125,-3.027832,-2.081127,-1.488788,0.909712,-2.826789
75,3.000000,40,10,2.000000,2.500000,218 days 10:00:00,842.504591,-15.749541,-50.755473,22.786715,18.401115,214 days 19:00:00,60,21.666667,8.723779,-7.101822,5.663505,-2.655291,0.632262,-2.624923,-1.914268,-1.353343,0.901286,-2.614457
75,3.500000,40,10,2.000000,2.500000,218 days 10:00:00,821.154629,-17.884537,-50.755473,21.073421,20.461997,214 days 19:00:00,56,19.642857,8.723779,-7.101822,5.696908,-2.602616,0.555022,-3.193667,-2.353304,-1.371132,0.875478,-3.143309
75,4.000000,40,10,2.000000,2.500000,218 days 10:00:00,818.534894,-18.146511,-50.755473,20.031424,21.512935,214 days 19:00:00,53,18.867925,8.723779,-7.101822,5.633496,-2.585010,0.524929,-3.423870,-2.433304,-1.321960,0.870185,-3.231661
75,4.500000,40,10,2.000000,2.500000,218 days 10:00:00,818.534894,-18.146511,-50.755473,20.031424,21.512935,214 days 19:00:00,53,18.867925,8.723779,-7.101822,5.633496,-2.585010,0.524929,-3.423870,-2.433304,-1.321960,0.870185,-3.231661
75,5.000000,40,10,2.000000,2.500000,218 days 10:00:00,818.534894,-18.146511,-50.755473,20.031424,21.512935,214 days 19:00:00,53,18.867925,8.723779,-7.101822,5.633496,-2.585010,0.524929,-3.423870,-2.433304,-1.321960,0.870185,-3.231661
75,5.500000,40,10,2.000000,2.500000,218 days 10:00:00,818.534894,-18.146511,-50.755473,20.031424,21.512935,214 days 19:00:00,53,18.867925,8.723779,-7.101822,5.633496,-2.585010,0.524929,-3.423870,-2.433304,-1.321960,0.870185,-3.231661
85,2.000000,40,10,2.000000,2.500000,218 days 10:00:00,776.759755,-22.324024,-50.755473,31.435431,26.572562,214 days 00:00:00,83,20.731707,13.011174,-7.467657,5.674586,-2.643597,0.597040,-2.776373,-2.656774,-1.295976,0.883745,-3.656596
85,2.500000,40,10,2.000000,2.500000,218 days 10:00:00,872.257433,-12.774257,-50.755473,24.482629,14.300854,148 days 21:00:00,60,23.333333,17.783162,-7.467657,6.982955,-2.632444,0.704636,-2.129043,-1.566070,-1.427806,0.924191,-2.154452
85,3.000000,40,10,2.000000,2.500000,218 days 10:00:00,826.549276,-17.345072,-50.755473,20.392215,19.541276,214 days 00:00:00,52,19.230769,8.723779,-7.467657,5.410256,-2.628959,0.543174,-3.335591,-2.413469,-1.395227,0.862556,-3.249065
85,3.500000,40,10,2.000000,2.500000,218 days 10:00:00,852.232216,-14.776778,-50.755473,19.495019,17.876590,214 days 00:00:00,49,20.408163,10.871874,-7.467657,6.070563,-2.528562,0.586151,-3.015669,-2.048515,-1.311683,0.881769,-2.760177
85,4.000000,40,10,2.000000,2.500000,218 days 10:00:00,832.445450,-16.755455,-50.755473,18.855226,19.763567,214 days 00:00:00,48,18.750000,10.871874,-7.467657,6.041622,-2.528562,0.523296,-3.490720,-2.391423,-1.335557,0.862767,-3.187777
85,4.500000,40,10,2.000000,2.500000,218 days 10:00:00,813.253478,-18.674652,-50.755473,18.543344,21.626273,214 days 00:00:00,47,17.021277,8.723779,-7.467657,5.437841,-2.528562,0.464503,-3.973330,-2.789650,-1.350634,0.842490,-3.675124
85,5.000000,40,10,2.000000,2.500000,218 days 10:00:00,813.253478,-18.674652,-50.755473,18.543344,21.626273,214 days 00:00:00,47,17.021277,8.723779,-7.467657,5.437841,-2.528562,0.464503,-3.973330,-2.789650,-1.350634,0.842490,-3.675124
85,5.500000,40,10,2.000000,2.500000,218 days 10:00:00,813.253478,-18.674652,-50.755473,18.543344,21.626273,214 days 00:00:00,47,17.021277,8.723779,-7.467657,5.437841,-2.528562,0.464503,-3.973330,-2.789650,-1.350634,0.842490,-3.675124
95,2.000000,40,10,2.000000,2.500000,218 days 10:00:00,754.841313,-24.515869,-50.755473,28.768189,28.458781,212 days 14:00:00,76,18.666667,13.011174,-7.467657,5.781013,-2.584626,0.514125,-3.325855,-3.061644,-1.317683,0.860646,-4.147093
95,2.500000,40,10,2.000000,2.500000,218 days 10:00:00,857.972585,-14.202742,-50.755473,22.281450,16.274867,212 days 14:00:00,55,21.818182,17.783162,-7.467657,7.298581,-2.573351,0.643589,-2.582317,-1.805871,-1.387710,0.909477,-2.451231
95,3.000000,40,10,2.000000,2.500000,218 days 10:00:00,846.395778,-15.360422,-50.755473,16.905586,17.390766,212 days 14:00:00,43,18.604651,17.683981,-7.467657,7.144336,-2.587715,0.514938,-3.572191,-2.289630,-1.398587,0.872658,-3.041050
95,3.500000,40,10,2.000000,2.500000,218 days 10:00:00,786.517702,-21.348230,-50.755473,18.601215,23.241557,212 days 14:00:00,47,14.893617,8.723779,-7.467657,5.638673,-2.494679,0.396463,-4.542177,-3.173277,-1.422247,0.812988,-4.108413
95,4.000000,40,10,2.000000,2.500000,218 days 10:00:00,776.438154,-22.356185,-50.755473,17.675539,24.981373,212 days 14:00:00,45,13.333333,8.723779,-7.467657,5.523280,-2.491396,0.342990,-4.968041,-3.411518,-1.380339,0.798861,-4.380183
95,4.500000,40,10,2.000000,2.500000,218 days 10:00:00,776.438154,-22.356185,-50.755473,17.675539,24.981373,212 days 14:00:00,45,13.333333,8.723779,-7.467657,5.523280,-2.491396,0.342990,-4.968041,-3.411518,-1.380339,0.798861,-4.380183
95,5.000000,40,10,2.000000,2.500000,218 days 10:00:00,776.438154,-22.356185,-50.755473,17.675539,24.981373,212 days 14:00:00,45,13.333333,8.723779,-7.467657,5.523280,-2.491396,0.342990,-4.968041,-3.411518,-1.380339,0.798861,-4.380183
95,5.500000,40,10,2.000000,2.500000,218 days 10:00:00,776.438154,-22.356185,-50.755473,17.675539,24.981373,212 days 14:00:00,45,13.333333,8.723779,-7.467657,5.523280,-2.491396,0.342990,-4.968041,-3.411518,-1.380339,0.798861,-4.380183
105,2.000000,40,10,2.000000,2.500000,218 days 10:00:00,832.252362,-16.774764,-50.755473,31.229322,21.132996,212 days 14:00:00,76,22.666667,13.011174,-7.467657,5.535198,-2.509549,0.663719,-2.299699,-2.086217,-1.250362,0.898081,-2.851527
105,2.500000,40,10,2.000000,2.500000,218 days 10:00:00,947.376113,-5.262389,-50.755473,23.219877,10.594323,212 days 14:00:00,55,27.272727,17.783162,-7.467657,6.796394,-2.616828,0.861853,-0.956798,-0.634585,-0.815330,0.965809,-0.878694
105,3.000000,40,10,2.000000,2.500000,218 days 10:00:00,886.326696,-11.367330,-50.755473,19.000676,12.622863,212 days 14:00:00,45,22.222222,17.783162,-7.467657,6.440807,-2.528075,0.650203,-2.526073,-1.715499,-1.446753,0.897033,-2.271496
105,3.500000,40,10,2.000000,2.500000,218 days 10:00:00,829.209174,-17.079083,-50.755473,18.900582,19.074968,212 days 14:00:00,45,17.777778,8.723779,-7.467657,5.036735,-2.493749,0.487829,-3.795352,-2.686459,-1.408807,0.825723,-3.466885
105,4.000000,40,10,2.000000,2.500000,218 days 10:00:00,865.650530,-13.434947,-50.755473,18.833250,16.360221,212 days 14:00:00,44,20.454545,10.871874,-7.467657,5.685084,-2.382994,0.580953,-3.053397,-2.006146,-1.309494,0.866156,-2.644205
105,4.500000,40,10,2.000000,2.500000,218 days 10:00:00,845.306449,-15.469355,-50.755473,18.497003,18.316499,212 days 14:00:00,43,18.604651,8.723779,-7.467657,5.036735,-2.382994,0.513209,-3.597524,-2.434104,-1.336784,0.840480,-3.161900
105,5.000000,40,10,2.000000,2.500000,218 days 10:00:00,845.306449,-15.469355,-50.755473,18.497003,18.316499,212 days 14:00:00,43,18.604651,8.723779,-7.467657,5.036735,-2.382994,0.513209,-3.597524,-2.434104,-1.336784,0.840480,-3.161900
105,5.500000,40,10,2.000000,2.500000,218 days 10:00:00,845.306449,-15.469355,-50.755473,18.497003,18.316499,212 days 14:00:00,43,18.604651,8.723779,-7.467657,5.036735,-2.382994,0.513209,-3.597524,-2.434104,-1.336784,0.840480,-3.161900
115,2.000000,40,10,2.000000,2.500000,218 days 10:00:00,951.744710,-4.825529,-50.755473,30.336834,13.633617,93 days 21:00:00,69,27.941176,13.011174,-7.467657,5.251656,-2.682708,0.887607,-0.789278,-0.509490,-0.581852,0.974379,-0.723315
115,2.500000,40,10,2.000000,2.500000,218 days 10:00:00,989.358506,-1.064149,-50.755473,23.253750,8.621643,74 days 07:00:00,54,29.629630,17.783162,-7.467657,6.666343,-2.704198,0.971664,-0.197065,-0.072167,-0.205525,0.996118,-0.101435
115,3.000000,40,10,2.000000,2.500000,218 days 10:00:00,912.819036,-8.718096,-50.755473,17.717408,10.014657,212 days 14:00:00,42,23.809524,17.783162,-7.467657,6.149401,-2.721266,0.713631,-2.075737,-1.263549,-1.411787,0.925616,-1.704742
115,3.500000,40,10,2.000000,2.500000,218 days 10:00:00,911.821996,-8.817800,-50.755473,18.403866,10.998595,212 days 14:00:00,42,23.809524,10.871874,-7.467657,5.458272,-2.508870,0.712786,-2.099476,-1.242032,-1.299732,0.916853,-1.681799
115,4.000000,40,10,2.000000,2.500000,218 days 10:00:00,920.964132,-7.903587,-50.755473,18.052413,10.998595,212 days 14:00:00,41,24.390244,10.871874,-7.467657,5.458272,-2.505199,0.734662,-1.927704,-1.107784,-1.168733,0.925315,-1.505401
